t,file,vol,desc,why
0.00,boom_low.wav,0.8,저음 '둥'(0~0.5초 저역 에너지 최대),썸네일 프레임 오프닝
12.63,breath_vo.wav,0.8,크게 들이쉬는 숨소리,들숨 괄호 자막
13.43,breath_vo.wav,0.8,길게 내쉬는 숨소리,날숨 괄호 자막
15.03,typing.wav,0.8,"자모 타자 '타닥'(타자 효과음, 권장)",속마음 자모 타이핑
16.20,boom_low.wav,0.8,저음 '둥' 히트 + 음악 시작(저역 -33→+17dB 급상승),작전 개시(키보드 인서트)
16.25,keyboard.wav,0.8,키보드 초고속 연타,앞발 타이핑 인서트
18.57,whoosh.wav,0.8,"줌 블러 '휘이익' + 상승 라이저(고역 22→26dB, 온셋 0.1초 간격)",각성 빌드업
19.63,impact.wav,0.8,섬광 임팩트 '콰앙' + 고역 쉬머,색 섬광 '초월' 순간
20.27,glitch.wav,0.8,'지직' 글리치,RGB 색 분리로 동료 난입
21.60,sparkle.wav,0.8,반짝 '샤랑',키링 인서트 + 반짝이 문자
22.87,laugh_vo.wav,0.8,어색한 웃음(억지 미소),영업용 웃음 리액션
25.43,boom_low.wav,0.8,저음 히트 + 음악 재진입,다시 목숨 걸고 집중
26.40,keyboard.wav,0.8,키보드 연타(배경 빨리감기),배경만 빨라지는 타이핑
28.77,whoosh.wav,0.8,'휙' 대시,줌 블러 바닥 질주
29.00,whoosh.wav,0.8,'슈웅' 스피드 휙,초록 스피드 광선 + 잔상 오라
31.53,paper_flap.wav,0.8,종이 펄럭 + 기합 환호(추정),"다리 사이 질주, 날리는 서류"
32.60,click.wav,0.8,스테이플러 '철컥' 클릭(온셋 32.601초 = 컷),의성어 강조 1타
32.90,whoosh.wav,0.8,'휙' 휩 팬,사무실 가로지르기
33.90,click.wav,0.8,스테이플러 '철컥' 클릭(온셋 33.901초 = 컷),의성어 강조 2타
34.43,whoosh.wav,0.8,'휙' 돌진 + 색 분리(온셋 34.435초),보고서 물고 달리기
35.67,breath_vo.wav,0.8,헐떡이는 숨소리,숨찬 발표
40.80,boing.wav,0.8,당황 '띠용'(권장),이미 끝난 일이었다는 깨달음
48.30,fanfare.wav,0.8,미니 팡파레 '짜잔'(45.6초 이후 고음 지속 줄무늬),앞발 번쩍 엔딩
