컷,시작(초),끝(초),길이(초),프레임,대상,사이즈,전환(들어올 때),효과,화면비,생성 방식,추천 모델,쓰는 클립,클립 시작(초),디지털 줌(배율@중심),컷 안 줌(시작→끝 배율)
1,0.0,0.1,0.1,3,insert,CU(썸네일 프레임),cut,,full,edit,edit,clips/s01.mp4,0.5,,
2,0.1,0.633,0.533,16,leader,MS(로우앵글),cut,,full,i2v,veo-3-1 > kling-v3,clips/s02.mp4,0.5,,
3,0.633,1.167,0.533,16,hero,WS,cut,,full,ref,kling-v3-omni > seedance-2-0 > kling-v3,clips/s03.mp4,0.5,,
4,1.167,2.567,1.4,42,leader,MS→MCU(로우앵글),cut,,full,i2v,veo-3-1 > kling-v3,clips/s04.mp4,0.5,,
5,2.567,3.3,0.733,22,hero,MCU,cut,,full,ref,kling-v3-omni > seedance-2-0,clips/s05.mp4,0.5,,
6,3.3,4.4,1.1,33,hero,CU,cut,,full,재사용,생성 불필요,clips/s05.mp4,1.233,"x1.53@0.53,0.52",
7,4.4,5.5,1.1,33,leader,MS(로우앵글),cut,,full,i2v,veo-3-1 > kling-v3,clips/s07.mp4,0.5,,x1.039
8,5.5,6.467,0.967,29,hero,WS,cut,,full,재사용,생성 불필요,clips/s03.mp4,1.033,"x1.26@0.50,0.50",
9,6.467,7.333,0.867,26,leader,MS(로우앵글),cut,,full,i2v,veo-3-1 > kling-v3,clips/s09.mp4,0.5,,x1.046
10,7.333,8.033,0.7,21,hero,MCU,cut,,full,재사용,생성 불필요,clips/s14.mp4,0.5,"x1.79@0.51,0.41",
11,8.033,8.5,0.467,14,leader,MCU,cut,,full,재사용,생성 불필요,clips/s09.mp4,1.367,"x1.6@0.47,0.44",
12,8.5,8.9,0.4,12,hero,ECU,cut,,full,재사용,생성 불필요,clips/s14.mp4,1.2,"x4.83@0.52,0.39",
13,8.9,9.433,0.533,16,leader,MS(로우앵글),cut,,full,i2v,veo-3-1 > kling-v3,clips/s13.mp4,0.5,,
14,9.433,10.033,0.6,18,hero,WS,cut,,full,ref,kling-v3-omni > seedance-2-0,clips/s14.mp4,1.6,,
15,10.033,10.4,0.367,11,hero,MCU,cut,,full,재사용,생성 불필요,clips/s14.mp4,2.2,"x1.63@0.51,0.47",x1.038
16,10.4,10.967,0.567,17,leader,MS(로우앵글),cut,,full,i2v,veo-3-1 > kling-v3,clips/s16.mp4,0.5,,
17,10.967,11.5,0.533,16,leader,MCU,cut,,full,재사용,생성 불필요,clips/s16.mp4,1.067,"x1.88@0.60,0.30",
18,11.5,11.767,0.267,8,hero,WS(가장 넓음),cut,,full,ref,kling-v3-omni > seedance-2-0 > kling-v3,clips/s18.mp4,0.5,,
19,11.767,12.2,0.433,13,hero,MS,cut,,full,재사용,생성 불필요,clips/s18.mp4,0.767,"x1.85@0.51,0.46",
20,12.2,12.633,0.433,13,hero,CU,cut,,full,재사용,생성 불필요,clips/s18.mp4,1.2,"x3.07@0.50,0.51",
21,12.633,13.433,0.8,24,hero,MS(3/4 측면),cut,,full,ref,kling-v3-omni > seedance-2-0,clips/s21.mp4,0.5,,x1.03
22,13.433,14.433,1.0,30,hero,CU(3/4 측면),cut,,full,재사용,생성 불필요,clips/s21.mp4,1.3,"x1.56@0.51,0.39",
23,14.433,15.033,0.6,18,hero,ECU(측면),cut,,full,ref,kling-v3-omni > hailuo-2-3 > still,clips/s23.mp4,0.5,,
24,15.033,15.767,0.733,22,hero,CU(광각),cut,,full,ref,minimax-h3 > kling-v3-omni,clips/s24.mp4,0.5,,
25,15.767,16.2,0.433,13,hero,ECU(광각),cut,push_in_slow,full,still,still > minimax-h3,clips/s25.mp4,0.5,,
26,16.2,16.967,0.767,23,hero,ECU(앞발 인서트),cut,,full,i2v,kling-v3 > veo-3-1,clips/s26.mp4,0.5,,
27,16.967,17.6,0.633,19,hero,CU(3/4),cut,,full,ref,kling-v3-omni > seedance-2-0,clips/s27.mp4,0.5,,
28,17.6,18.567,0.967,29,hero,MS(3/4),cut,math,full,ref,kling-v3-omni > seedance-2-0 > edit,clips/s28.mp4,0.5,,
29,18.567,19.633,1.067,32,hero,CU,zoomblur,,full,ref,kling-v3-omni > minimax-h3 > edit,clips/s29.mp4,0.5,,
30,19.633,19.9,0.267,8,hero,ECU,cut,flash_in,full,edit,edit,clips/s30.mp4,0.5,,
31,19.9,20.267,0.367,11,hero,ECU,cut,flash_in|glitch,full,재사용,생성 불필요,clips/s29.mp4,1.567,"x1.37@0.52,0.47",
32,20.267,20.767,0.5,15,cw1,MS,cut,glitch,full,i2v,veo-3-1 > kling-v3,clips/s32.mp4,0.5,,
33,20.767,21.133,0.367,11,hero,MS,cut,,full,ref,kling-v3-omni > seedance-2-0,clips/s33.mp4,0.5,,
34,21.133,21.6,0.467,14,hero,CU,cut,,full,재사용,생성 불필요,clips/s33.mp4,0.867,"x2.32@0.50,0.50",
35,21.6,22.2,0.6,18,cw1,INSERT(소품 CU),cut,,full,i2v,veo-3-1 > kling-v3,clips/s35.mp4,0.5,,
36,22.2,22.867,0.667,20,cw1,INSERT(소품 ECU),cut,,full,i2v,veo-3-1 > kling-v3 > still,clips/s36.mp4,0.5,,
37,22.867,23.367,0.5,15,hero,MS,cut,,full,ref,minimax-h3 > kling-v3-omni,clips/s37.mp4,0.5,,x1.039
38,23.367,23.867,0.5,15,hero,CU,cut,,full,재사용,생성 불필요,clips/s37.mp4,1.0,"x1.97@0.50,0.50",
39,23.867,24.833,0.967,29,hero,MS,cut,,full,ref,kling-v3-omni > minimax-h3,clips/s39.mp4,0.5,,
40,24.833,25.367,0.533,16,hero,ECU,cut,,full,재사용,생성 불필요,clips/s39.mp4,1.467,"x3.7@0.51,0.44",
41,25.367,25.867,0.5,15,hero,CU(3/4),cut,,full,ref,kling-v3-omni > seedance-2-0,clips/s41.mp4,0.5,,
42,25.867,26.4,0.533,16,hero,ECU(눈),cut,,full,재사용,생성 불필요,clips/s41.mp4,1.0,"x2.54@0.50,0.47",
43,26.4,27.533,1.133,34,hero,MS(3/4),cut,,full,ref,seedance-2-0 > kling-v3-omni,clips/s43.mp4,0.5,,
44,27.533,28.767,1.233,37,hero,MCU→(와이프),cut,,full,i2v,kling-v3 > seedance-2-5,clips/s44.mp4,0.5,,
45,28.767,29.0,0.233,7,hero,WS(바닥 높이),zoomblur,,full,i2v,kling-v3 > seedance-2-0 > viduq3-pro,clips/s45.mp4,0.5,,
46,29.0,29.733,0.733,22,hero,WS(바닥 높이),zoomblur,,full,i2v,kling-v3 > seedance-2-0,clips/s46.mp4,0.5,,
47,29.733,30.6,0.867,26,hero,MS(바닥 높이),cut,,full,ref,kling-v3-omni > seedance-2-0,clips/s47.mp4,0.5,,
48,30.6,31.533,0.933,28,hero,CU,cut,,full,재사용,생성 불필요,clips/s47.mp4,1.367,"x1.63@0.53,0.49",
49,31.533,32.6,1.067,32,hero,WS(바닥 높이),cut,,full,i2v,kling-v3 > seedance-2-0,clips/s49.mp4,0.5,,
50,32.6,32.9,0.3,9,hero,ECU(앞발 인서트),cut,,full,i2v,viduq3-pro > kling-v3 > still,clips/s50.mp4,0.5,,
51,32.9,33.9,1.0,30,hero,WS(휩 팬),cut,whip,full,i2v,seedance-2-5 > kling-v3,clips/s51.mp4,0.5,,
52,33.9,34.133,0.233,7,hero,ECU(앞발 인서트),cut,,full,i2v,viduq3-pro > kling-v3,clips/s52.mp4,0.5,,
53,34.133,34.433,0.3,9,hero,CU,cut,glitch,full,ref,kling-v3-omni > minimax-h3,clips/s53.mp4,0.5,,x1.054
54,34.433,35.233,0.8,24,hero,MS(광각 로우),zoomblur,,full,ref,seedance-2-0 > kling-v3-omni,clips/s54.mp4,0.5,,
55,35.233,35.667,0.433,13,hero,INSERT(앞발 CU),cut,,full,i2v,kling-v3 > veo-3-1,clips/s55.mp4,0.5,,x1.062
56,35.667,36.333,0.667,20,hero,ECU,cut,,full,i2v,minimax-h3 > hailuo-2-3,clips/s56.mp4,0.5,,
57,36.333,36.9,0.567,17,hero,MCU,cut,,full,i2v,kling-v3 > minimax-h3,clips/s57.mp4,0.5,,
58,36.9,37.667,0.767,23,hero,MS,cut,,full,재사용,생성 불필요,clips/s59.mp4,0.5,"x1.53@0.53,0.52",x0.969
59,37.667,38.333,0.667,20,hero,WS,cut,,full,ref,kling-v3-omni > seedance-2-0,clips/s59.mp4,1.267,,
60,38.333,38.8,0.467,14,cw1,MCU,cut,,full,i2v,veo-3-1 > kling-v3,clips/s60.mp4,0.5,,
61,38.8,40.8,2.0,60,cw1,MS→CU→MS,cut,,full,i2v,veo-3-1 > kling-v3,clips/s61.mp4,0.5,,
62,40.8,41.2,0.4,12,hero,WS,cut,,full,재사용,생성 불필요,clips/s68.mp4,0.5,"x1.69@0.49,0.62",
63,41.2,41.667,0.467,14,hero,MCU,cut,,full,재사용,생성 불필요,clips/s68.mp4,0.9,"x3.78@0.49,0.60",
64,41.667,42.4,0.733,22,leader,MS,cut,,full,i2v,veo-3-1 > kling-v3,clips/s64.mp4,0.5,,
65,42.4,43.6,1.2,36,hero,ECU,cut,push_in_slow,full,still,still > kling-v3-omni,clips/s65.mp4,0.5,,
66,43.6,44.6,1.0,30,leader,MS,cut,,full,i2v,veo-3-1 > kling-v3,clips/s66.mp4,0.5,,
67,44.6,45.267,0.667,20,leader,CU(손),cut,,full,재사용,생성 불필요,clips/s66.mp4,1.5,"x1.35@0.53,0.69",
68,45.267,45.9,0.633,19,hero,WS,cut,,full,ref,kling-v3-omni > seedance-2-0,clips/s68.mp4,1.367,,
69,45.9,46.433,0.533,16,hero,MCU,cut,,full,edit,edit > still,clips/s69.mp4,0.5,,
70,46.433,47.4,0.967,29,group,WS(투샷),cut,,full,재사용,생성 불필요,clips/s72.mp4,0.5,"x1.12@0.52,0.49",
71,47.4,48.3,0.9,27,hero,ECU(3/4),cut,,full,재사용,생성 불필요,clips/s69.mp4,1.033,"x1.69@0.57,0.46",
72,48.3,49.733,1.433,43,group,WS(투샷)→MS(주인공 단독),cut,,full,ref,kling-v3-omni > minimax-h3 > seedance-2-0,clips/s72.mp4,1.467,,x1.866
