컷,시작(초),끝(초),길이(초),프레임,대상,사이즈,전환(들어올 때),효과,화면비,생성 방식,추천 모델,쓰는 클립,클립 시작(초),디지털 줌(배율@중심),컷 안 줌(시작→끝 배율)
1,0.0,1.4,1.4,42,hero,MS→MCU,cut,,full,i2v-fl,kling-v3 > veo-3-1 > viduq3-pro,clips/s01.mp4,0.5,,
2,1.4,2.0,0.6,18,hero,CU,cut,,full,i2v,minimax-h3 > kling-v3 > still,clips/s02.mp4,0.5,,
3,2.0,2.667,0.667,20,insert,INSERT(POV),cut,,full,still,still > viduq3-pro,clips/s03.mp4,0.5,,x1.036
4,2.667,3.4,0.733,22,hero,MS,cut,,full,i2v,kling-v3 > minimax-h3,clips/s04.mp4,0.5,,
5,3.4,4.3,0.9,27,hero,MS,cut,,full,ref,kling-v3-omni > seedance-2-0 > kling-v3,clips/s05.mp4,0.5,,
6,4.3,4.933,0.633,19,cw1,MS,cut,,full,i2v,veo-3-1 > kling-v3,clips/s06.mp4,0.5,,
7,4.933,5.467,0.533,16,cw1,MS(조금 가까이),cut,,full,i2v,veo-3-1 > kling-v3,clips/s07.mp4,0.5,,
8,5.467,6.2,0.733,22,cw1,MCU,cut,,full,재사용,생성 불필요,clips/s07.mp4,1.033,"x1.97@0.49,0.29",
9,6.2,6.733,0.533,16,hero,CU,zoomblur,,full,i2v,minimax-h3 > hailuo-2-3 > kling-v3,clips/s09.mp4,0.5,,
10,6.733,7.333,0.6,18,hero,ECU,cut,crash_zoom,full,재사용,생성 불필요,clips/s09.mp4,1.033,"x1.97@0.51,0.46",
11,7.333,8.333,1.0,30,hero,MS,cut,,full,재사용,생성 불필요,clips/s12.mp4,0.5,"x1.59@0.45,0.37",x1.035
12,8.333,8.833,0.5,15,hero,MS(와이드),cut,,full,ref,kling-v3-omni > seedance-2-0,clips/s12.mp4,1.5,,
13,8.833,9.533,0.7,21,hero,MCU(3/4 측면),cut,,full,재사용,생성 불필요,clips/s12.mp4,2.0,"x1.45@0.50,0.53",
14,9.533,10.7,1.167,35,cw1,MS,cut,,full,i2v,veo-3-1 > kling-v3,clips/s14.mp4,0.5,,x1.034
15,10.7,11.533,0.833,25,cw1,MCU,cut,,full,i2v,veo-3-1 > kling-v3,clips/s15.mp4,0.5,,
16,11.533,12.3,0.767,23,cw2,MS,cut,,full,재사용,생성 불필요,clips/s17.mp4,0.5,"x1.35@0.50,0.54",
17,12.3,13.067,0.767,23,cw2,MCU,cut,,full,i2v,veo-3-1 > kling-v3,clips/s17.mp4,1.267,,
18,13.067,13.633,0.567,17,hero,MS,cut,,full,재사용,생성 불필요,clips/s24.mp4,0.5,"x1.18@0.45,0.49",x0.788
19,13.633,14.067,0.433,13,hero,CU(측면),cut,,full,재사용,생성 불필요,clips/s24.mp4,1.067,"x3.02@0.41,0.34",
20,14.067,14.767,0.7,21,cw1,MS,cut,,full,i2v,veo-3-1 > kling-v3,clips/s20.mp4,0.5,,
21,14.767,15.4,0.633,19,hero,MS(측면),cut,,full,재사용,생성 불필요,clips/s24.mp4,1.5,"x1.19@0.50,0.47",
22,15.4,15.867,0.467,14,hero,CU(측면),cut,push_in_slow,full,재사용,생성 불필요,clips/s24.mp4,2.133,"x1.94@0.52,0.41",
23,15.867,16.4,0.533,16,cw2,MS,cut,,full,i2v,veo-3-1 > kling-v3,clips/s23.mp4,0.5,,
24,16.4,17.133,0.733,22,hero,MS,cut,,full,ref,kling-v3-omni > seedance-2-0,clips/s24.mp4,2.6,,
25,17.133,18.233,1.1,33,hero,MCU,cut,,full,재사용,생성 불필요,clips/s24.mp4,3.333,"x1.76@0.50,0.45",x1.046
26,18.233,19.533,1.3,39,hero_costume,CU(로우앵글),cut,,full,재사용,생성 불필요,clips/s27.mp4,0.5,"x1.57@0.44,0.38",x1.056
27,19.533,20.867,1.333,40,hero_costume,MS,cut,,full,ref,kling-v3-omni > seedance-2-0,clips/s27.mp4,1.8,,x1.107
28,20.867,21.533,0.667,20,hero_costume,MCU,dissolve,,full,재사용,생성 불필요,clips/s29.mp4,0.5,"x1.48@0.56,0.46",
29,21.533,22.167,0.633,19,hero_costume,MS,cut,,full,ref,kling-v3-omni > seedance-2-0,clips/s29.mp4,1.167,,
30,22.167,22.6,0.433,13,hero_costume,MS(로우앵글),cut,,full,재사용,생성 불필요,clips/s31.mp4,0.5,"x2.24@0.47,0.52",
