t,file,vol,desc,why
0.00,pop.wav,0.8,팝업 '뾰롱',파티션 위로 솟아오름
1.40,question_ding.wav,0.8,'띵?' 물음표,엇 리액션
5.50,sparkle.wav,0.8,반짝 차임,희소식 키워드
6.20,sparkle.wav,0.8,휙(줌 블러) + 반짝 파티클,강조 자막 폭발
6.73,whoosh.wav,0.8,짧은 줌 '쭈욱',ECU 크래시 줌
8.40,click.wav,0.8,트랙패드 '톡톡',달력 확인
13.07,boing.wav,0.8,'띠용',되묻기
17.20,harp_gliss.wav,0.8,하프 글리산도(상상 진입),상상 시작 신호
18.30,slurp.wav,0.8,빨대 쪽쪽 + 몽환 벨,꿀 빠는 장면
20.90,amb_restaurant.wav,0.5,레스토랑 앰비언스,장소 전환
22.20,amb_birds.wav,0.5,웃음 + 새소리,하늘 장면
24.10,record_scratch.wav,0.8,레코드 스크래치,현실 복귀(스매시 컷)
26.40,sparkle.wav,0.8,'반짝' 윙크,✦ 스티커 등장
28.70,boom_low.wav,0.8,불길한 '둥',반전 시작
30.17,impact.wav,0.8,임팩트 '쿵!' + 휙,?!?! 크래시 줌
30.70,drone_low.wav,0.5,긴장 드론 시작,파멸 구간
33.50,heartbeat.wav,0.8,심장박동 2회,초근접 공포
35.60,sob_vo.wav,0.8,흐느낌,동료의 우는 척
