t,file,vol,desc,why
0.21,munch.wav,0.8,"빵 씹는 쩝쩝 ASMR(0.2·1.0·2.0초 중역 -36dB 버스트, 측정)",먹방 오프닝(#2~#3)
1.53,amb_room.wav,0.5,음악 없는 밤 거실 룸톤 앰비언스,평온한 저녁 바닥 와이드(#4)
6.33,question_ding.wav,0.8,굳는 순간 '띵?' 물음표(권장),얼음 리액션 크롭(#5)
11.52,click.wav,0.8,빵이 바닥에 떨어지는 작은 낙하음(11.52초 온셋 측정) — 키트에서는 클릭음으로 대체,평화 종료 선언(#8)
13.44,boom_low.wav,0.8,"바닥 시점 전진 '두둥' 긴장 스팅(컷 0.07초 뒤 온셋, 권장)",대치 시작(#9)
19.73,typing.wav,0.8,"타자 효과음(폭주 문장이 초당 약 8글자로 타이핑, 권장)",넘치는 타이핑 자막(#16~#18)
25.35,whoosh.wav,0.8,병 던지는 휙 스윙,투척(#21)
25.60,impact.wav,0.8,병이 렌즈에 맞는 임팩트 + 짧은 신음,명중(#21~#22)
26.10,impact.wav,0.8,앞발로 내려찍는 쿵 + 화면 흔들림,덮치기(#23)
26.40,whoosh.wav,0.8,나뒹구는 휙 회전음,시점 뒤집힘(#24)
27.40,sob_vo.wav,0.8,암전 속 훌쩍이는 울먹임(약 735Hz),주인공 울음(#26)
31.50,sob_vo.wav,0.8,주인공 흐느낌(약 501Hz),울며 통화(#28)
36.37,whoosh.wav,0.8,휩 팬 휙 + 자막 없는 외침(약 668Hz),컵 속 시점 급회전(#32)
41.00,whoosh.wav,0.8,크래시 줌 쭈욱 + 가장 큰 외침(순간 최대 -14.3dB 구간),'크다' 강조(#38)
42.40,drone_low.wav,0.5,"공포 드론 시작(100~200Hz 잡음 대역, 42.5~46.0초 측정)",빈 컵 공포(#41)
