t,file,vol,desc,why
0.00,amb_wind.wav,0.5,바람 + 폰 조작 '툭',셀카 시작
3.10,amb_birds.wav,0.5,꽃밭 바람 + 새소리,장소 전환
5.00,munch.wav,0.8,쩝쩝 먹는 소리,먹방
8.00,amb_water.wav,0.5,물가 앰비언스,호수
13.10,munch.wav,0.8,바삭·폭신 먹는 소리,디저트
19.90,shutter.wav,0.8,셔터 '찰칵',사진 1
20.37,shutter.wav,0.8,셔터 '찰칵',사진 2
20.83,shutter.wav,0.8,셔터 '찰칵',사진 3
21.30,shutter.wav,0.8,셔터 '찰칵',셀카 사진
21.80,amb_cafe.wav,0.5,카페 앰비언스 + 숟가락,먹방 3
26.40,breath_vo.wav,0.8,새근새근 숨소리,낮잠
36.40,click.wav,0.8,키보드·마우스 클릭,게임 방
37.97,whoosh.wav,0.8,'휙' 스윙,휩 팬
38.50,fanfare.wav,0.8,승급 팡파레(자작),진짜 하이라이트
40.53,typing.wav,0.8,타자 소리 + '뿅',엔딩 카드
