컷,시작(초),끝(초),길이(초),프레임,대상,사이즈,전환(들어올 때),효과,화면비,생성 방식,추천 모델,쓰는 클립,클립 시작(초),디지털 줌(배율@중심),컷 안 줌(시작→끝 배율)
1,0.0,0.1,0.1,3,insert,INSERT(썸네일),cut,,full,edit,edit,clips/s01.mp4,0.5,,
2,0.1,0.933,0.833,25,cw1,MS,cut,,full,재사용,생성 불필요,clips/s04.mp4,0.5,"x1.12@0.57,0.67",x1.09
3,0.933,1.5,0.567,17,hero,MS,cut,,full,ref,kling-v3-omni > seedance-2-0,clips/s03.mp4,0.5,,
4,1.5,2.0,0.5,15,cw1,MS,cut,,full,i2v,veo-3-1 > kling-v3,clips/s04.mp4,1.333,,
5,2.0,2.667,0.667,20,hero,CU,cut,,full,재사용,생성 불필요,clips/s03.mp4,1.067,"x2.1@0.52,0.43",
6,2.667,3.2,0.533,16,hero,MS→CU,cut,crash_zoom,full,ref,kling-v3-omni > seedance-2-0 > kling-v3,clips/s06.mp4,0.5,,
7,3.2,4.133,0.933,28,hero,MS,cut,,full,ref,kling-v3-omni > seedance-2-0,clips/s07.mp4,0.5,,
8,4.133,4.767,0.633,19,hero_costume,CU,cut,crash_zoom,full,ref,kling-v3-omni > seedance-2-0,clips/s08.mp4,0.5,,
9,4.767,5.233,0.467,14,hero,ECU(앞발),cut,push_in_slow,full,i2v,kling-v3 > viduq3-pro,clips/s09.mp4,0.5,,
10,5.233,5.733,0.5,15,hero,MS(3/4),cut,,full,ref,kling-v3-omni > seedance-2-0,clips/s10.mp4,0.5,,
11,5.733,6.233,0.5,15,hero_costume,MS(뒷모습),cut,,full,ref,kling-v3-omni > seedance-2-0,clips/s11.mp4,0.5,,
12,6.233,7.0,0.767,23,insert,INSERT(게임 화면),cut,,full,i2v,kling-v3 > seedance-2-0,clips/s12.mp4,0.5,,
13,7.0,7.9,0.9,27,hero_costume,CU,cut,,full,ref,kling-v3-omni > minimax-h3,clips/s13.mp4,0.5,,
14,7.9,8.4,0.5,15,insert,INSERT(게임 화면),cut,,full,재사용,생성 불필요,clips/s12.mp4,1.267,"x1.4@0.51,0.44",
15,8.4,8.933,0.533,16,hero,ECU,cut,push_in_slow,full,재사용,생성 불필요,clips/s16.mp4,0.5,"x1.53@0.51,0.47",
16,8.933,9.567,0.633,19,hero,CU,cut,push_in_slow,full,ref,kling-v3-omni > seedance-2-0,clips/s16.mp4,1.033,,
17,9.567,11.333,1.767,53,hero_costume,WS(게임 화면 + 합성),cut,,full,ref,seedance-2-0 > kling-v3-omni > edit,clips/s17.mp4,0.5,,
18,11.333,12.0,0.667,20,hero_costume,MS→CU,cut,crash_zoom,full,ref,kling-v3-omni > seedance-2-0,clips/s18.mp4,0.5,,
19,12.0,12.333,0.333,10,hero_costume,CU,cut,,full,재사용,생성 불필요,clips/s18.mp4,1.167,"x1.13@0.54,0.50",
