t,file,vol,desc,why
0.00,amb_room.wav,0.5,사무실 앰비언스(룸톤),음악 없는 평일 기준점
0.93,question_ding.wav,0.8,'띵?' 물음 효과음(권장) + 짧은 되물음(약 596Hz),멍한 대답
2.67,whoosh.wav,0.8,밈송 하드 인 + '휙' 줌 효과음(권장),스매시 컷·크래시 줌 팝 인
4.30,boom_low.wav,0.8,저음 '둥' 히트(측정) → 5.0초 풀 그루브,베이스 진입 예고(코스프레 첫 등장)
10.13,pop.wav,0.8,'팝' 등장음(권장),합성 댄스 스티커 2마리 팝 인
15.63,whoosh.wav,0.8,'휙' 대롱 드는 소리 + 기합 숨소리(권장),공격 파트 시작(자막 3단 확대)
17.03,pop.wav,0.8,대롱 발사 '팝'(권장),실사 발사 1
18.27,impact.wav,0.8,명중 '쿵' + 디버프 효과음(추정),적 챔피언 명중
19.63,pop.wav,0.8,가장 센 발사 '팝' + '휙'(권장),영문 강조 자막 클라이맥스
20.30,impact.wav,0.8,처치 '쿵!' 임팩트 + 골드 코인 '짤랑',첫 킬(초대형 자막이 컷 0.27초 뒤 등장)
20.35,laugh_vo.wav,0.8,"만화풍 고음 웃음(약 668Hz, 측정)",킬 직후 환호
21.47,fanfare.wav,0.8,짧은 팡파레(권장),첫 킬 배너
24.50,whoosh.wav,0.8,"하강 '휙~' 스윕(24.5초, 측정) + 쓰러지는 소리",반어적 사망(25.27초 흑백)
28.30,pop.wav,0.8,'팝' 흙에 꽂는 소리 + 기합(권장),설치물 심기(베이스 스톱 앤 고 시작)
29.70,boom_low.wav,0.8,"저음 '둥' 히트(스톱 앤 고 약 0.7초 간격, 측정)",땀 닦는 농부
31.03,login_chime.wav,0.8,'띠링' 알림음(권장),연속 킬 차단 배너
32.63,keyboard.wav,0.8,기계식 키보드 '타닥타닥',앞발 타이핑 ECU
35.20,impact.wav,0.8,"타격 '쿵' 연타 + 비명(167~760Hz 요동, 측정)",몰매
37.17,impact.wav,0.8,"기지 폭발 '쿵' + 베이스 복귀 드롭(37.2초, 측정)",패배 확정
39.93,boing.wav,0.8,"상승 '띠용' 글라이드(39.9~40.3초, 측정) + 타자 소리",채팅에 후렴 입력
40.67,boom_low.wav,0.8,패배 스팅어 저음 '둥…'(권장),패배 화면
41.60,amb_room.wav,0.5,"음악 꼬리 끝 → 사무실 앰비언스만(41.7초 저역 -60dB, 측정)",현실 복귀(L컷)
