컷,시작(초),끝(초),길이(초),프레임,대상,사이즈,전환(들어올 때),효과,화면비,생성 방식,추천 모델,쓰는 클립,클립 시작(초),디지털 줌(배율@중심),컷 안 줌(시작→끝 배율)
1,0.0,0.1,0.1,3,insert,ECU(타이틀 카드),cut,,full,재사용,생성 불필요,clips/s36.mp4,0.5,"x1.6@0.31,0.49",
2,0.1,0.833,0.733,22,group,MS(투샷 · 책상 높이),cut,,full,재사용,생성 불필요,clips/s06.mp4,0.5,"x1.24@0.47,0.50",
3,0.833,1.8,0.967,29,cw2,MS(가슴 위 · 얼굴 프레임 밖),cut,,full,i2v,veo-3-1 > kling-v3,clips/s03.mp4,0.5,,
4,1.8,2.267,0.467,14,hero,CU,cut,,full,재사용,생성 불필요,clips/s05.mp4,0.5,"x1.56@0.49,0.41",
5,2.267,2.733,0.467,14,hero,MS,cut,,full,ref,kling-v3-omni > seedance-2-0 > kling-v3,clips/s05.mp4,0.967,,
6,2.733,3.567,0.833,25,group,MS(투샷 · 책상 높이),cut,,full,ref,seedance-2-0 > kling-v3-omni > kling-v3,clips/s06.mp4,1.233,,
7,3.567,4.167,0.6,18,hero,ECU,cut,,full,i2v,minimax-h3 > hailuo-2-3 > kling-v3,clips/s07.mp4,0.5,,
8,4.167,5.033,0.867,26,insert,INSERT(POV · 컵 속),cut,crash_zoom,full,still,still > edit,clips/s08.mp4,0.5,,
9,5.033,5.667,0.633,19,hero,ECU,cut,,full,i2v,minimax-h3 > hailuo-2-3,clips/s09.mp4,0.5,,
10,5.667,6.1,0.433,13,hero,MS(측면),cut,,full,ref,kling-v3-omni > seedance-2-0 > kling-v3,clips/s10.mp4,0.5,,
11,6.1,6.7,0.6,18,hero,MCU(측면),cut,,full,재사용,생성 불필요,clips/s10.mp4,0.933,"x1.63@0.48,0.45",
12,6.7,7.367,0.667,20,insert,INSERT(POV · 컵 속 근접),cut,push_in_slow,full,still,still > edit,clips/s12.mp4,0.5,,
13,7.367,7.8,0.433,13,hero,MS,cut,,full,ref,kling-v3-omni > minimax-h3,clips/s13.mp4,0.5,,
14,7.8,8.3,0.5,15,cw2,MCU(입술·턱),cut,,full,재사용,생성 불필요,clips/s03.mp4,1.467,"x1.17@0.48,0.43",
15,8.3,9.067,0.767,23,hero,MS(동료 어깨 너머),cut,,full,재사용,생성 불필요,clips/s18.mp4,0.5,"x1.44@0.61,0.53",
16,9.067,10.067,1.0,30,hero,ECU,cut,,full,재사용,생성 불필요,clips/s09.mp4,1.133,"x1.05@0.48,0.50",
17,10.067,11.167,1.1,33,cw2,MS(상반신 · 얼굴 프레임 밖),cut,,full,i2v,veo-3-1 > kling-v3,clips/s17.mp4,0.5,,
18,11.167,11.933,0.767,23,hero,MS(동료 어깨 너머),cut,,full,ref,kling-v3-omni > seedance-2-0 > kling-v3,clips/s18.mp4,1.267,,x1.039
19,11.933,12.767,0.833,25,hero,MS→MCU,cut,push_in_slow,full,재사용,생성 불필요,clips/s18.mp4,2.034,"x1.53@0.51,0.52",
20,12.767,13.333,0.567,17,hero,CU(3/4),cut,,full,재사용,생성 불필요,clips/s18.mp4,2.867,"x3.03@0.53,0.46",
21,13.333,14.133,0.8,24,cw2,MCU(상반신 · 입술 위 크롭),cut,crash_zoom,full,i2v,veo-3-1 > kling-v3,clips/s21.mp4,0.5,,
22,14.133,14.5,0.367,11,hero,CU,cut,,full,재사용,생성 불필요,clips/s24.mp4,0.5,"x1.9@0.47,0.48",
23,14.5,15.1,0.6,18,insert,INSERT(OTS 화면 근접),cut,crash_zoom,full,재사용,생성 불필요,clips/s25.mp4,0.5,"x1.72@0.50,0.50",
24,15.1,15.6,0.5,15,hero,MS,cut,,full,ref,seedance-2-0 > kling-v3-omni > kling-v3,clips/s24.mp4,0.867,,
25,15.6,16.067,0.467,14,insert,INSERT(OTS 화면 와이드),cut,,full,i2v,kling-v3 > veo-3-1,clips/s25.mp4,1.1,,
26,16.067,17.033,0.967,29,hero,CU,cut,,full,ref,kling-v3-omni > seedance-2-0 > veo-3-1,clips/s26.mp4,0.5,,
27,17.033,17.667,0.633,19,insert,INSERT(OTS 화면),cut,,full,재사용,생성 불필요,clips/s25.mp4,1.567,"x1.05@0.50,0.50",x1.037
28,17.667,17.967,0.3,9,hero,ECU,cut,crash_zoom,full,still,still > minimax-h3,clips/s28.mp4,0.5,,
29,17.967,18.333,0.367,11,hero,ECU(더 가까이),cut,,full,재사용,생성 불필요,clips/s28.mp4,0.8,"x1.44@0.48,0.51",
30,18.333,19.467,1.133,34,group,MS(와이드 투샷),cut,,full,ref,seedance-2-0 > kling-v3-omni > gemini-omni-1-1-flash,clips/s30.mp4,0.5,,x1.04
31,19.467,20.1,0.633,19,insert,INSERT(OTS 화면),cut,,full,재사용,생성 불필요,clips/s25.mp4,2.2,"x1.16@0.50,0.52",x0.968
32,20.1,20.7,0.6,18,cw2,MCU(입술·가슴),cut,,full,재사용,생성 불필요,clips/s34.mp4,0.5,"x1.89@0.33,0.21",
33,20.7,21.133,0.433,13,hero,ECU,cut,crash_zoom,full,still,still > minimax-h3 > hailuo-2-3,clips/s33.mp4,0.5,,
34,21.133,22.3,1.167,35,group,MS(와이드 투샷),cut,,full,ref,seedance-2-0 > kling-v3-omni > gemini-omni-1-1-flash,clips/s34.mp4,1.1,,
35,22.3,23.633,1.333,40,cw2,MS(상반신 · 얼굴 프레임 밖),cut,,full,i2v,veo-3-1 > kling-v3,clips/s35.mp4,0.5,,
36,23.633,24.2,0.567,17,hero,MS,cut,,full,ref,kling-v3-omni > minimax-h3 > hailuo-2-3,clips/s36.mp4,0.6,,
37,24.2,25.1,0.9,27,hero,ECU,cut,,full,재사용,생성 불필요,clips/s36.mp4,1.167,"x1.98@0.48,0.51",
