t,file,vol,desc,why
0.12,amb_room.wav,0.5,"옅은 사무실 앰비언스(먼 대화·룸톤, 음악 없음)",1부 대화의 바닥 소리
2.80,breath_vo.wav,0.8,코 킁킁 3번(작은 숨소리),#6 냄새 맡기 — 괄호 의성어와 동기
4.18,boom_low.wav,0.8,"발견 스팅 '두둥'(A음 110·220·440Hz + E음, 측정)",#8 컵 속 곰팡이 크래시 줌(컷 0.01초 뒤)
6.70,pop.wav,0.8,표정 스티커 바뀔 때 '뾰롱'(권장),#12 곰팡이가 귀여운 얼굴로 변신
10.10,clatter.wav,0.8,머그컵 끄는 달그락(권장),#17 컵 슬쩍 치우기
13.35,boom_low.wav,0.8,"시간 점프 저음 '둥'(약 75Hz, 측정)",#21 며칠 후 크래시 줌(컷 0.02초 뒤)
13.40,sparkle.wav,0.8,"'띠잉' 차임 지속음(약 575·1150Hz, 0.7초, 측정)",시간 경과 표시 — 2부 시작 신호
14.15,click.wav,0.8,머리 찌르기 '톡톡'(권장),#22 손가락 콕
14.56,boom_low.wav,0.8,"발견 스팅 '두둥' 재사용(#8과 같은 A음, 측정)",#23 바탕화면 크래시 줌 — 1부 발견과 소리 운율
15.15,click.wav,0.8,머리 찌르기 '톡톡'(권장),#24 반복 찌르기
16.10,click.wav,0.8,이마 누르기 '톡톡'(권장),#26 무반응 찌르기
17.60,impact.wav,0.8,"펀치 임팩트 '퍽' 1(약 32Hz 저음, 측정)",#28 무표정 초근접 펀치인(컷 0.07초 앞)
18.02,impact.wav,0.8,펀치 임팩트 '퍽' 2(측정),#29 2단 디지털 줌 — 연타
20.67,impact.wav,0.8,펀치 임팩트 '퍽' 3(측정),#33 결정타 크래시 줌(컷 0.03초 앞)
20.80,laugh_vo.wav,0.8,헛웃음 숨소리,#33 억지 눈웃음
22.35,creak.wav,0.8,의자 삐걱 + 발소리(권장),#35 동료 퇴장
23.70,drone_low.wav,0.5,"험한 마음 저음 드론(약 48Hz, 배음 96·145Hz, 측정)",#36~#37 악당 눈빛 엔딩
