t,file,vol,desc,why
0.00,amb_room.wav,0.5,"버스 엔진 룸톤 앰비언스(저역 웅웅 — 120Hz 이하 약 49dB, 0~18.07초)","야간 퇴근 버스 현장감(#1~#9, #18~#19)"
7.30,shutter.wav,0.8,필름 넘김 '찰칵'(권장),회상 액자 진입(#10)
11.83,keyboard.wav,0.8,"노트북 키보드 '타닥'(작게, 권장)",밤샘 야근 회상(#16)
18.07,whoosh.wav,0.8,미러 슬라이드 '휙' + 버스 룸톤 뚝 끊김(저역 49→22dB),버스 → 거리 장면 전환(#20)
18.10,amb_room.wav,0.5,"밤거리 앰비언스(차량·사람, 약 -30~-35dB)",거리 셀카(#20~#22)
20.90,shutter.wav,0.8,필름 넘김 '찰칵'(권장),상상 액자 진입(#23)
25.30,click.wav,0.8,게임 효과음 + 마우스 '클릭'(25.30초 온셋),게이머 상상 시작(#30)
26.41,keyboard.wav,0.8,키보드 연타(26.0~27.1초 온셋 7개 밀집) + 높은 괴성(약 660Hz 배음),게임 분노(#32~#34)
29.60,impact.wav,0.8,케이스에 기대는 '쿵'(저역 약 79Hz) + 짧은 기합,옥상 첫 인서트(#37)
31.58,click.wav,0.8,하드 케이스 잠금쇠 '딸깍' 클릭(이 구간 최강 온셋),케이스 개봉(#40→#41)
32.77,click.wav,0.8,"노리쇠 '철컥-철컥' 클릭(32.77·32.94·33.07초 3연속, 사이 0.1~0.2초 무음)",(장전) 괄호 자막(#43)
36.17,shutter.wav,0.8,회상 진입 '찰칵'(36.17초 온셋),행사장 벽 회상(#48)
45.37,impact.wav,0.8,"재장전 '철컥' + 저음 히트 '쿵'(45.37~45.66초, 약 -15dB — 후반 최대급)",눈빛 돌변·준비(#58~#59)
46.63,impact.wav,0.8,"총성 '탕!' 임팩트(저역 63~123Hz, 컷 0.06초 뒤)",발사(#61)
47.37,whoosh.wav,0.8,탄환 비행 '휙' 우쉬(도시 위 줌 블러),탄환 시점(#63~#64)
48.13,impact.wav,0.8,"유리창 파열 임팩트(48.02·48.41초 온셋, 슬로모션으로 낮게 늘어짐)",창문 관통(#65)
51.80,impact.wav,0.8,의자째 나동그라지는 '쿵' + 종이 휘날림(51.80·51.97초),첫 수신자 넘어짐(#67~#68)
61.97,impact.wav,0.8,양손 권총 연사 임팩트(권장),양손 권총 패러디(#79~#80)
74.63,click.wav,0.8,손바닥으로 서류 붙이는 '톡톡'(찰싹 두 번),임원 이마에 서류(#94)
85.83,typing.wav,0.8,엔딩 카드 자모 '타자' 소리(권장) + 저음 E(약 41Hz) 여운 약 2초 → 88초부터 완전 무음,조용한 마무리(#109)
