컷,시작(초),끝(초),길이(초),프레임,대상,사이즈,전환(들어올 때),효과,화면비,생성 방식,추천 모델,쓰는 클립,클립 시작(초),디지털 줌(배율@중심),컷 안 줌(시작→끝 배율)
1,0.0,0.367,0.367,11,hero,MCU(버스 원본 약 1.5배 크롭),cut,,full,재사용,생성 불필요,clips/s06.mp4,0.5,"x1.46@0.38,0.50",
2,0.367,1.133,0.767,23,hero,CU(버스 원본 약 2.1배 크롭),cut,,full,재사용,생성 불필요,clips/s06.mp4,0.867,"x2.08@0.38,0.49",
3,1.133,2.2,1.067,32,hero,MCU(버스 원본 약 1.45배 크롭),cut,,full,재사용,생성 불필요,clips/s06.mp4,1.634,"x1.44@0.37,0.50",
4,2.2,2.733,0.533,16,hero,CU(버스 원본 약 1.9배 크롭),cut,,full,재사용,생성 불필요,clips/s06.mp4,2.701,"x1.85@0.36,0.47",
5,2.733,3.2,0.467,14,hero,ECU(버스 원본 약 3.1배 크롭),cut,,full,재사용,생성 불필요,clips/s06.mp4,3.234,"x2.99@0.37,0.48",
6,3.2,4.467,1.267,38,hero,MS(버스 원본 전체 1.0배),cut,,full,ref,kling-v3-omni > seedance-2-0 > kling-v3,clips/s06.mp4,3.701,,
7,4.467,5.3,0.833,25,hero,CU(버스 원본 약 2.1배 크롭),cut,,full,재사용,생성 불필요,clips/s06.mp4,4.968,"x2.08@0.38,0.49",
8,5.3,5.833,0.533,16,hero,ECU(버스 원본 약 4배 크롭),cut,,full,재사용,생성 불필요,clips/s06.mp4,5.801,"x3.85@0.39,0.50",
9,5.833,7.3,1.467,44,hero,MS(버스 원본 약 1.55배 크롭),cut,,full,재사용,생성 불필요,clips/s06.mp4,6.334,"x1.54@0.39,0.47",
10,7.3,7.767,0.467,14,hero_costume,MCU(회상 액자 안),cut,,full,ref,kling-v3-omni > seedance-2-0,clips/s10.mp4,0.5,,
11,7.767,8.067,0.3,9,hero_costume,"CU(회상 액자 안, 약 1.4배 크롭)",cut,,full,재사용,생성 불필요,clips/s10.mp4,0.967,"x1.11@0.55,0.46",
12,8.067,8.867,0.8,24,hero_costume,"MCU(기울어진 구도, 회상 액자 안)",cut,,full,ref,kling-v3-omni > minimax-h3,clips/s12.mp4,0.5,,
13,8.867,9.533,0.667,20,hero_costume,MS(회상 액자 안),cut,,full,ref,kling-v3-omni > seedance-2-0,clips/s13.mp4,0.5,,
14,9.533,10.267,0.733,22,hero,"MS(뒷모습, 회상 액자 안)",cut,,full,ref,kling-v3-omni > seedance-2-5,clips/s14.mp4,0.5,,
15,10.267,11.833,1.567,47,insert,"WS(실사 행사장 영상, 회상 액자 안)",cut,,full,i2v,veo-3-1 > kling-v3,clips/s15.mp4,0.5,,
16,11.833,13.467,1.633,49,hero,MS(회상 액자 안),cut,,full,ref,kling-v3-omni > seedance-2-0,clips/s16.mp4,0.5,,
17,13.467,15.233,1.767,53,hero,CU(회상 액자 안),cut,,full,ref,minimax-h3 > hailuo-2-3 > kling-v3-omni,clips/s17.mp4,0.5,,
18,15.233,16.633,1.4,42,hero,MCU(버스 원본 약 1.5배 크롭),cut,,full,재사용,생성 불필요,clips/s06.mp4,7.801,"x1.44@0.38,0.49",
19,16.633,18.067,1.433,43,hero,CU(버스 원본 약 2.2배 크롭),cut,,full,재사용,생성 불필요,clips/s06.mp4,9.201,"x2.09@0.37,0.50",
20,18.067,18.933,0.867,26,hero,MCU(셀카),cut,,full,i2v,seedance-2-5 > kling-v3 > veo-3-1,clips/s20.mp4,0.5,,
21,18.933,19.6,0.667,20,hero,MS(거리 원본 1.0배),cut,,full,i2v,kling-v3 > seedance-2-5,clips/s21.mp4,0.5,,
22,19.6,20.9,1.3,39,hero,MCU(거리 원본 약 1.5배 크롭),cut,,full,재사용,생성 불필요,clips/s21.mp4,1.167,"x1.47@0.52,0.56",
23,20.9,21.567,0.667,20,hero_costume,MS(상상 액자 안),cut,,full,ref,kling-v3-omni > seedance-2-0,clips/s23.mp4,0.5,,
24,21.567,22.233,0.667,20,hero_costume,"CU(상상 액자 안, 약 2배 크롭)",cut,,full,재사용,생성 불필요,clips/s23.mp4,1.167,"x2.01@0.50,0.50",
25,22.233,22.9,0.667,20,hero,MCU(상상 액자 안),cut,,full,ref,kling-v3-omni > veo-3-1,clips/s25.mp4,0.5,,
26,22.9,23.467,0.567,17,hero,"ECU(상상 액자 안, 약 2배 크롭)",cut,,full,재사용,생성 불필요,clips/s25.mp4,1.167,"x2.0@0.50,0.50",
27,23.467,24.267,0.8,24,hero,MS(엘리베이터 원본 1.0배),cut,,full,ref,kling-v3-omni > seedance-2-0,clips/s27.mp4,0.5,,x1.034
