t,file,vol,desc,why
0.10,boom_low.wav,0.8,"저음 '둥' 히트(약 83Hz, 0.1~0.9초 감쇠, 측정)",본편 시작 임팩트 — 속삭임 대화 밑에 깔림
3.60,boom_low.wav,0.8,"저음 '둥' 히트(약 110Hz, 측정)",비관론자 동료2 등장 — 찬물
13.55,boom_low.wav,0.8,"저음 '둥' 히트(약 84Hz, 13.55~14.05초, 측정)",'그래도 해냈다' 직후 — 주인공 희망 회로 가동
18.97,impact.wav,0.8,"임팩트 '쿵'(19.0~19.5초 저역 상승, 측정)",112% 막대그래프 슬라이드 공개(#27)
19.60,breath_vo.wav,0.8,'헉' 숨소리(권장),자모 분리 감탄 컷(#28)
20.50,boom_low.wav,0.8,"가장 센 저음 '둥'(약 82Hz, 20.5~21.1초, 측정)",'해냈습니다' — 초과 달성 확정(#30)
21.63,whoosh.wav,0.8,짧은 '휙' 줌 효과음(권장),'와 미쳤다' CU→XCU 디지털 줌(#32)
23.50,applause.wav,0.8,"강당 박수 소리(23.5~26.2초 고역 온셋 밀집, 측정)",축하 인사 → 전체 박수(#35~#36)
29.90,boom_low.wav,0.8,"저음 '둥' 히트(약 82Hz, 29.9~30.6초, 측정)",보상 예고 시작(#42)
33.30,whoosh.wav,0.8,짧은 '휙' 크래시 줌 효과음(권장),크래시 줌 + 자막 확대(#47)
36.60,heartbeat.wav,0.8,심장 '두근' 1회(권장 — 원본은 약 -41dB로 조용한 0.37초),괄호 속마음 '(폭발하는 기대)'(#52)
37.05,fanfare.wav,0.8,"저음 히트 + 짧은 팡파레 느낌(37.05~37.5초 저역 -9dB, 측정)",'오늘 점심은!' 발표(#53)
38.90,question_ding.wav,0.8,"'띵?' 물음 효과음(약 1.2kHz 벨이 0.5초 울림, 측정)",'엥?' 황당 리액션(#55~#56)
40.67,sparkle.wav,0.8,반짝 '샤랑'(권장),파티 슬라이드 초근접(#58)
44.30,drone_low.wav,0.5,"실망 저음 드론(약 66~100Hz, 44.3~46.2초, 측정)",부정 태그 라벨 — 실망 합창(#63~#65)
46.10,laugh_vo.wav,0.8,동료1의 짧은 웃음(피식),이마 짚고 맞장구(#65)
48.80,amb_restaurant.wav,0.5,식당(레스토랑) 웅성거림 앰비언스(추정),장소가 구내식당으로 바뀜
48.85,sparkle.wav,0.8,"반짝 '띠링' 차임(약 0.9·1.4·4.3kHz 성분, 측정)",구내식당 엔딩 공개(#68)
