t,file,vol,desc,why
2.88,whoosh.wav,0.8,'쭈욱' 줌 효과음(권장),#6 컷 안 크래시 줌(ECU)
3.46,pour.wav,0.8,"간장 따르는 '쪼르륵'(폰 속 소리, 온셋 3.46초 측정)",#7 첫 재료
5.60,slurp.wav,0.8,'쪽쪽' 핥는 소리(권장),#10 몰래 맛보기
6.55,clatter.wav,0.8,숟가락 '달그락' 젓는 소리(온셋 6.55·6.85·7.13초 측정),#11~#12 소스 섞기
8.90,question_ding.wav,0.8,크래시 줌 '쭈욱' + 물음표 '띵?'(권장),#14 멈칫
13.10,boom_low.wav,0.8,"냉장고 문 여는 '철컥' 저음 히트(20~150Hz 37.7dB, 측정)",#19 캄캄한 냉장고가 밝아짐
13.30,amb_room.wav,0.5,"냉장고 모터 험 앰비언스(약 50·100Hz, 13.3~14.3초 측정)",#20 냉장고 안 시점
14.10,sparkle.wav,0.8,"'반짝' 발견 효과음(2~5kHz 짧은 히트, 측정)",#21 찾았다
14.70,breath_vo.wav,0.8,힘주는 숨소리 + 통 부스럭(자막 없는 기합),#22 몸만 한 통 꺼내기
15.17,boom_low.wav,0.8,"초저음 '두둥' 붐(약 65~70Hz 기음, 15.1~16.8초, 영상 최대 음량, 측정)",#23 유통기한 공개
17.69,sizzle.wav,0.8,"'치이익' 지글지글 시작(5~11kHz 대역, 17.7~22.7초 측정)",#26~#31 불과의 전쟁
20.69,pop.wav,0.8,"기름이 '타닥' 터지는 팝 소리(고음 히트, 측정)",#30 강조 자막
21.20,whoosh.wav,0.8,"짜증 섞인 높은 외침(약 513Hz, 측정) + 줌 '쭈욱'(권장)",#31 욕 오타 + 컷 안 크래시 줌
24.20,click.wav,0.8,"찬장 문 '달칵' 클릭(짧은 히트, 측정)",#34 쌀 찾기
25.47,boing.wav,0.8,물음표 '띠용?'(권장),#36 물음표 다섯 개
26.90,whoosh.wav,0.8,"길게 늘인 비명(2~4kHz 집중, 26.9~27.7초, 측정) + 줌 '쭈욱'",#38 비명 크래시 줌
27.77,amb_room.wav,0.5,음악 없이 밤거리 저역 험 앰비언스(27.8~30.3초 측정),#39~#41 편의점 원정
30.40,clink.wav,0.8,"그릇 '챙' 부딪히는 금속음(약 4.3·5.8kHz, 측정)",#42 설거지 산
33.40,munch.wav,0.8,'쩝쩝' 먹는 소리(권장),#45~#48 시식
