컷,시작(초),끝(초),길이(초),프레임,대상,사이즈,전환(들어올 때),효과,화면비,생성 방식,추천 모델,쓰는 클립,클립 시작(초),디지털 줌(배율@중심),컷 안 줌(시작→끝 배율)
1,0.0,0.1,0.1,3,insert,MS(섬네일 정지 화면),cut,,full,edit,edit,clips/s01.mp4,0.5,,
2,0.1,0.7,0.6,18,hero,MS,cut,,full,ref,kling-v3-omni > seedance-2-0 > kling-v3,clips/s02.mp4,0.5,,
3,0.7,1.233,0.533,16,hero,CU,cut,,full,재사용,생성 불필요,clips/s02.mp4,1.1,"x1.78@0.48,0.58",
4,1.233,1.733,0.5,15,insert,ECU(음식 매크로),cut,,full,i2v,veo-3-1 > kling-v3,clips/s04.mp4,0.5,,
5,1.733,2.433,0.7,21,insert,CU(음식 + 제목 그래픽),cut,push_in_slow,full,still,still > edit,clips/s05.mp4,0.5,,
6,2.433,3.5,1.067,32,hero,CU→ECU,cut,crash_zoom,full,재사용,생성 불필요,clips/s02.mp4,1.633,"x2.91@0.47,0.53",
7,3.5,4.1,0.6,18,insert,MS(폰 화면 인서트),cut,,full,i2v,veo-3-1 > kling-v3 > edit,clips/s07.mp4,0.5,,
8,4.1,4.7,0.6,18,hero,MCU,cut,,full,ref,kling-v3-omni > seedance-2-0 > kling-v3,clips/s08.mp4,0.5,,
9,4.7,5.267,0.567,17,hero,MCU,cut,,full,ref,kling-v3-omni > seedance-2-0,clips/s09.mp4,0.5,,
10,5.267,6.3,1.033,31,hero,CU,cut,,full,ref,minimax-h3 > kling-v3-omni,clips/s10.mp4,0.5,,
11,6.3,6.833,0.533,16,insert,CU(볼 속 매크로),cut,,full,i2v,kling-v3 > veo-3-1,clips/s11.mp4,0.5,,
12,6.833,7.933,1.1,33,hero,MS,cut,,full,ref,kling-v3-omni > seedance-2-0,clips/s12.mp4,0.5,,
13,7.933,8.5,0.567,17,insert,ECU(탑뷰 매크로),cut,,full,i2v,veo-3-1 > viduq3-pro,clips/s13.mp4,0.5,,
14,8.5,9.8,1.3,39,hero,MS→MCU,cut,crash_zoom,full,ref,kling-v3-omni > minimax-h3,clips/s14.mp4,0.5,,
15,9.8,10.967,1.167,35,hero,MCU,cut,,full,재사용,생성 불필요,clips/s14.mp4,1.8,"x1.23@0.56,0.43",x1.052
16,10.967,11.833,0.867,26,hero,ECU,cut,,full,재사용,생성 불필요,clips/s14.mp4,2.967,"x2.01@0.57,0.42",
17,11.833,12.467,0.633,19,insert,MS(폰 화면 인서트),cut,,full,i2v,veo-3-1 > kling-v3 > edit,clips/s17.mp4,0.5,,
18,12.467,13.0,0.533,16,insert,ECU(탑뷰 매크로),cut,,full,재사용,생성 불필요,clips/s17.mp4,1.133,"x2.88@0.47,0.56",
19,13.0,13.267,0.267,8,insert,MS(냉장고 안 시점),cut,,full,edit,edit > kling-v3,clips/s19.mp4,0.5,,
20,13.267,13.833,0.567,17,insert,MS(냉장고 안 시점),cut,push_in_slow,full,still,still > kling-v3,clips/s20.mp4,0.5,,
21,13.833,14.333,0.5,15,hero,MS,cut,,full,ref,kling-v3-omni > seedance-2-0,clips/s21.mp4,0.5,,
22,14.333,15.167,0.833,25,hero,CU,cut,,full,ref,kling-v3-omni > kling-v3,clips/s22.mp4,0.5,,
23,15.167,16.4,1.233,37,hero,ECU(뚜껑 날짜 + 눈 가장자리),cut,,full,still,still > kling-v3,clips/s23.mp4,0.5,,x1.471
24,16.4,17.067,0.667,20,hero,MCU,cut,,full,ref,kling-v3-omni > minimax-h3,clips/s24.mp4,0.5,,
